clase,color,contraste
Madera,61.76008744,258.0794043
Madera,147.1595067,567.2839148
Madera,152.0076786,97.86417433
Madera,110.9935571,127.6664964
Madera,115.9064502,5.691034812
Madera,94.34987253,162.3054331
Madera,141.4968935,638.7888916
Madera,168.0066718,7.311850613
Piel,86.76748098,76.8296935
Piel,129.388858,105.5344704
Piel,106.3957525,30.52357383
Piel,58.92509883,137.5116426
Piel,95.82922041,14.91316172
Piel,36.21019632,84.51624889
Piel,72.99807492,19.69561077
Roca,31.12700101,19.81142479
Roca,159.9103861,233.3551903
Roca,16.10241399,0.550647349
Urbano,46.66678955,100.9817298
Urbano,11.46202799,717.1282081
Urbano,89.98414632,20.85696363
Urbano,8.332766927,11.29685952
Urbano,1.646495768,0.544161399
Urbano,6.732641146,30.65101699
Urbano,6.91655625,89.95713146
Urbano,89.40085208,58.19661455
Urbano,62.26281181,114.1805267
Urbano,141.4407292,47.6676714
Urbano,63.34590169,965.8138694
Urbano,24.04406006,260.140247
Urbano,46.66542806,784.7440457
Urbano,7.320086263,63.65611232
Urbano,15.43987793,212.0794757
Urbano,141.4407292,47.6676714
Urbano,5.151187337,16.88162392
Vegetacion,90.885979,171.0943423
Vegetacion,90.65686849,61.22322895
Vegetacion,154.5139195,695.95072
Vegetacion,197.7303924,705.0942058
Vegetacion,136.2701639,837.951039
Vegetacion,217.3894131,711.2777045
Vegetacion,153.4203279,817.2192008
Vegetacion,80.43395278,114.1212159
Vegetacion,162.5091467,488.3758343
Vegetacion,101.9897964,514.8574177
Vegetacion,189.8083281,594.8607273
Vegetacion,134.502382,99.50971145
Vegetacion,116.5096526,670.5597645
Vegetacion,55.23999105,568.2779352
Vegetacion,124.1140348,790.8627534
Vegetacion,47.81953206,28.56634271
Vegetacion,76.79416504,568.6464848
Vegetacion,74.78294108,849.2094345
Vegetacion,70.74511393,271.5926054
Vegetacion,104.1175146,95.27642482
